"day","num_videos","avg_duration","se_duration","med_duration"
"2005-04-23",2,15.0000000000000000,4,15
"2005-04-24",1,6.0000000000000000,,6
"2005-04-30",2,13.0000000000000000,3,13
"2005-05-01",1,6.0000000000000000,,6
"2005-05-02",1,84.0000000000000000,,84
"2005-05-03",1,24.0000000000000000,,24
"2005-05-12",2,8.5000000000000000,3.5,8.5
"2005-05-14",1,15.0000000000000000,,15
"2005-05-18",1,65.0000000000000000,,65
"2005-05-22",1,31.0000000000000000,,31
"2005-05-24",1,61.0000000000000000,,61
"2005-06-12",2,11.0000000000000000,4,11
"2005-06-13",8,60.3750000000000000,21.3239783711068,44.5
"2005-06-14",23,42.1739130434782609,8.65880533204855,28
"2005-06-15",14,56.0714285714285714,16.0963664883951,30.5
"2005-06-16",17,76.5294117647058824,26.0972611881493,37
"2005-06-17",17,60.9411764705882353,20.4300223482205,31
"2005-06-18",8,42.8750000000000000,8.79211802046096,36
"2005-06-19",16,76.1250000000000000,48.822712866725,20
"2005-06-20",9,35.4444444444444444,6.73116943593821,35
"2005-06-21",7,63.0000000000000000,17.6540835691538,51
"2005-06-22",8,166.3750000000000000,117.891284286474,23.5
"2005-06-23",12,123.5833333333333333,36.0377450134795,70
"2005-06-24",20,69.9000000000000000,19.4818268893697,30
"2005-06-25",16,62.6250000000000000,18.1132720677408,30
"2005-06-26",43,90.7906976744186047,15.1251537114375,52
"2005-06-27",34,75.6470588235294118,15.6155278513582,27.5
"2005-06-28",24,53.2916666666666667,24.9338602764399,16
"2005-06-29",19,68.8947368421052632,26.9026721793744,20
"2005-06-30",34,144.5882352941176471,82.3374336048489,31.5
"2005-07-01",65,66.9846153846153846,24.9913109160319,30
"2005-07-02",59,43.9661016949152542,6.71403730715225,30
"2005-07-03",16,80.6875000000000000,26.004441727969,33.5
"2005-07-04",35,91.6285714285714286,17.7544448554397,61
"2005-07-05",41,95.3658536585365854,24.1396030262579,29
"2005-07-06",26,72.1538461538461538,15.1598348182286,41.5
"2005-07-07",32,100.5000000000000000,26.0676848520996,35.5
"2005-07-08",23,83.7391304347826087,21.3998464579567,34
"2005-07-09",17,149.4117647058823529,34.5738828265272,144
"2005-07-10",34,121.1176470588235294,23.5111292608249,47
"2005-07-11",50,74.5000000000000000,12.4680898820197,43.5
"2005-07-12",50,126.9600000000000000,18.1822734933714,87
"2005-07-13",27,98.0740740740740741,17.4911394683972,62
"2005-07-14",35,295.8000000000000000,220.341659072199,32
"2005-07-15",43,91.5581395348837209,21.8688910742363,31
"2005-07-16",12,96.4166666666666667,34.9257780836374,34
"2005-07-17",67,45.3880597014925373,8.63111437383284,30
"2005-07-18",51,77.2549019607843137,14.7636501979177,31
"2005-07-19",62,52.7096774193548387,7.76895294596803,31
"2005-07-20",35,143.6285714285714286,48.6368309054795,53
"2005-07-21",40,102.9250000000000000,18.5606900395322,63
"2005-07-22",27,119.1851851851851852,39.6075130660032,56
"2005-07-23",29,97.7586206896551724,22.195373811929,61
"2005-07-24",28,105.5357142857142857,15.4171692018358,78
"2005-07-25",37,118.2702702702702703,21.6198957644537,82
"2005-07-26",35,100.3714285714285714,19.5643770649611,58
"2005-07-27",65,72.9076923076923077,15.8160508034639,31
"2005-07-28",29,80.1724137931034483,16.8329278649378,47
"2005-07-29",51,76.5490196078431373,9.09890377907013,47
"2005-07-30",40,106.0750000000000000,19.1030735713338,65
"2005-07-31",55,107.8000000000000000,24.899304278139,42
"2005-08-01",61,79.5737704918032787,12.6289081819008,41
"2005-08-02",74,69.9324324324324324,8.51501561709104,40
"2005-08-03",59,69.1016949152542373,11.2553564082023,31
"2005-08-04",80,104.8625000000000000,13.0156884856826,62
"2005-08-05",59,133.1694915254237288,19.7289960746808,80
"2005-08-06",55,88.9272727272727273,14.3201690673732,34
"2005-08-07",50,120.8800000000000000,16.9940839646012,84.5
"2005-08-08",58,128.9827586206896552,19.698306672679,65
"2005-08-09",74,127.4864864864864865,19.1482480374532,64
"2005-08-10",95,103.0421052631578947,15.2326189444907,49
"2005-08-11",73,157.1095890410958904,47.3249420243893,41
"2005-08-12",48,115.5833333333333333,21.9386401187505,39.5
"2005-08-13",98,99.4183673469387755,12.9212517499296,49.5
"2005-08-14",327,88.6116207951070336,9.37819102660988,32
"2005-08-15",206,106.6796116504854369,18.3809794038531,37
"2005-08-16",121,87.2314049586776860,11.6123079969156,41
"2005-08-17",116,109.7500000000000000,16.354189111639,52
"2005-08-18",111,131.1801801801801802,16.6106997980282,64
"2005-08-19",93,141.9032258064516129,18.8866978309963,69
"2005-08-20",97,116.8453608247422680,15.8856141303564,59
"2005-08-21",129,108.2325581395348837,13.1751143278466,49
"2005-08-22",95,107.4526315789473684,18.2962908657686,39
"2005-08-23",126,105.9047619047619048,12.7348910967925,62
"2005-08-24",95,107.8736842105263158,16.3946106056372,43
"2005-08-25",149,100.7718120805369128,12.6781951982519,41
"2005-08-26",128,80.2265625000000000,8.1342558941942,39
"2005-08-27",143,92.8671328671328671,11.4840844469114,41
"2005-08-28",125,153.3600000000000000,24.1774312251149,81
"2005-08-29",145,111.0206896551724138,12.4080274232824,57
"2005-08-30",200,104.9350000000000000,14.3958031947896,36
"2005-08-31",131,112.8091603053435115,14.8694381066342,45
"2005-09-01",126,94.1666666666666667,13.4615584371036,46
"2005-09-02",133,105.7218045112781955,10.3692773673884,49
"2005-09-03",118,122.5084745762711864,16.5195889661111,71
"2005-09-04",146,111.6095890410958904,13.3776842124423,47.5
"2005-09-05",168,85.0952380952380952,9.07775098929318,36
